Testing Flow,Actual Protocol,Classification Result,Probability,True Positive
0,http,bittorrent,0.7503407542026351,False
1,http,bittorrent,0.7503407542026351,False
2,http,bittorrent,0.7503407542026351,False
3,http,bittorrent,0.7503407542026351,False
4,http,bittorrent,0.7503407542026351,False
5,http,bittorrent,0.7503407542026351,False
6,http,bittorrent,0.7503407542026351,False
7,http,bittorrent,0.7503407542026351,False
8,http,bittorrent,0.7503407542026351,False
9,http,bittorrent,0.7503407542026351,False
10,http,bittorrent,0.7503407542026351,False
11,http,bittorrent,0.7503407542026351,False
12,http,bittorrent,0.7503407542026351,False
13,http,bittorrent,0.7503407542026351,False
14,http,bittorrent,0.7503407542026351,False
15,http,bittorrent,0.7503407542026351,False
16,http,bittorrent,0.7503407542026351,False
17,http,bittorrent,0.7503407542026351,False
18,http,bittorrent,0.7503407542026351,False
19,http,bittorrent,0.7503407542026351,False
20,http,bittorrent,0.7503407542026351,False
21,http,bittorrent,0.7503407542026351,False
22,http,bittorrent,0.7503407542026351,False
23,http,bittorrent,0.7503407542026351,False
24,http,bittorrent,0.7503407542026351,False
25,http,bittorrent,0.7503407542026351,False
26,http,bittorrent,0.7503407542026351,False
27,http,bittorrent,0.7503407542026351,False
28,http,bittorrent,0.7503407542026351,False
29,http,bittorrent,0.7503407542026351,False
30,http,bittorrent,0.7503407542026351,False
31,http,bittorrent,0.7503407542026351,False
32,http,bittorrent,0.7503407542026351,False
33,http,bittorrent,0.7503407542026351,False
34,http,bittorrent,0.7503407542026351,False
35,http,bittorrent,0.7503407542026351,False
36,http,bittorrent,0.7503407542026351,False
37,http,bittorrent,0.7503407542026351,False
38,http,bittorrent,0.7503407542026351,False
39,http,bittorrent,0.9,False
40,http,bittorrent,0.7503407542026351,False
41,http,bittorrent,0.7503407542026351,False
42,http,bittorrent,0.7503407542026351,False
43,http,bittorrent,0.7503407542026351,False
44,http,bittorrent,0.7503407542026351,False
45,http,bittorrent,0.7503407542026351,False
46,http,bittorrent,0.7503407542026351,False
47,http,bittorrent,0.7503407542026351,False
48,http,bittorrent,0.7503407542026351,False
49,http,bittorrent,0.7503407542026351,False
50,http,bittorrent,0.7503407542026351,False
51,http,bittorrent,0.7503407542026351,False
52,http,bittorrent,0.7503407542026351,False
53,http,bittorrent,0.7503407542026351,False
54,http,bittorrent,0.7503407542026351,False
55,http,bittorrent,0.7503407542026351,False
56,http,bittorrent,0.7503407542026351,False
57,http,bittorrent,0.7503407542026351,False
58,http,bittorrent,0.7503407542026351,False
59,http,bittorrent,0.7503407542026351,False
60,http,bittorrent,0.7503407542026351,False
61,http,bittorrent,0.7503407542026351,False
62,http,bittorrent,0.7503407542026351,False
63,http,bittorrent,0.7503407542026351,False
64,http,bittorrent,0.7503407542026351,False
65,http,bittorrent,0.7503407542026351,False
66,http,bittorrent,0.7503407542026351,False
67,http,bittorrent,0.7503407542026351,False
68,http,bittorrent,0.7503407542026351,False
69,http,bittorrent,0.7503407542026351,False
70,http,bittorrent,0.7503407542026351,False
71,http,bittorrent,0.7503407542026351,False
72,http,bittorrent,0.7503407542026351,False
73,http,bittorrent,0.7503407542026351,False
74,http,bittorrent,0.7503407542026351,False
75,http,bittorrent,0.7503407542026351,False
76,http,bittorrent,0.7503407542026351,False
77,http,bittorrent,0.7503407542026351,False
78,http,bittorrent,0.7503407542026351,False
