Testing Flow,Actual Protocol,Classification Result,Probability,True Positive
0,http,http,0.9666666666666667,True
1,http,http,0.9666666666666667,True
2,http,http,0.9666666666666667,True
3,http,http,0.9666666666666667,True
4,http,http,0.9666666666666667,True
5,http,http,0.9666666666666667,True
6,http,http,0.9666666666666667,True
7,http,http,0.9666666666666667,True
8,http,http,0.9666666666666667,True
9,http,http,0.9666666666666667,True
10,http,http,0.9666666666666667,True
11,gnutella,gnutella,0.5555555555555556,True
12,gnutella,gnutella,0.6111111111111112,True
13,gnutella,gnutella,0.6111111111111112,True
14,gnutella,bittorrent,0.4666666666666667,False
15,gnutella,bittorrent,0.4666666666666667,False
16,gnutella,bittorrent,0.7142857142857143,False
17,gnutella,bittorrent,0.5357142857142857,False
18,gnutella,bittorrent,0.34782608695652173,False
19,gnutella,bittorrent,0.5357142857142857,False
20,gnutella,gnutella,0.6216216216216216,True
21,gnutella,gnutella,0.6216216216216216,True
22,edonkey,edonkey,1.0,True
23,edonkey,edonkey,0.9354838709677419,True
24,edonkey,edonkey,1.0,True
25,edonkey,edonkey,0.9354838709677419,True
26,edonkey,edonkey,0.9354838709677419,True
27,edonkey,edonkey,0.9354838709677419,True
28,edonkey,edonkey,1.0,True
29,edonkey,edonkey,0.9354838709677419,True
30,edonkey,edonkey,0.9354838709677419,True
31,edonkey,edonkey,1.0,True
32,edonkey,edonkey,0.9354838709677419,True
33,bittorrent,bittorrent,0.4666666666666667,True
34,bittorrent,bittorrent,0.34782608695652173,True
35,bittorrent,bittorrent,0.34782608695652173,True
36,bittorrent,bittorrent,0.34782608695652173,True
37,bittorrent,bittorrent,0.34782608695652173,True
38,bittorrent,bittorrent,0.34782608695652173,True
39,bittorrent,gnutella,0.6216216216216216,False
40,bittorrent,bittorrent,0.34782608695652173,True
41,bittorrent,http,0.7647058823529411,False
42,bittorrent,http,0.8571428571428571,False
43,bittorrent,bittorrent,0.34782608695652173,True
0,http,http,1.0,True
1,http,http,1.0,True
2,http,http,1.0,True
3,http,http,1.0,True
4,http,http,1.0,True
5,http,http,1.0,True
6,http,http,1.0,True
7,http,http,1.0,True
8,http,http,1.0,True
9,http,http,1.0,True
10,http,http,1.0,True
11,gnutella,gnutella,0.5454545454545454,True
12,gnutella,gnutella,0.6136363636363636,True
13,gnutella,gnutella,0.6136363636363636,True
14,gnutella,gnutella,0.5454545454545454,True
15,gnutella,gnutella,0.5454545454545454,True
16,gnutella,gnutella,0.6136363636363636,True
17,gnutella,gnutella,0.6136363636363636,True
18,gnutella,gnutella,0.5454545454545454,True
19,gnutella,gnutella,0.6136363636363636,True
20,gnutella,gnutella,0.6136363636363636,True
21,gnutella,gnutella,0.6136363636363636,True
22,edonkey,edonkey,1.0,True
23,edonkey,edonkey,1.0,True
24,edonkey,edonkey,1.0,True
25,edonkey,edonkey,1.0,True
26,edonkey,edonkey,1.0,True
27,edonkey,http,0.7916666666666666,False
28,edonkey,edonkey,1.0,True
29,edonkey,edonkey,1.0,True
30,edonkey,edonkey,1.0,True
31,edonkey,edonkey,1.0,True
32,edonkey,edonkey,1.0,True
33,bittorrent,gnutella,0.5454545454545454,False
34,bittorrent,http,0.75,False
35,bittorrent,bittorrent,0.5833333333333334,True
36,bittorrent,bittorrent,0.5833333333333334,True
37,bittorrent,bittorrent,0.5833333333333334,True
38,bittorrent,bittorrent,0.5833333333333334,True
39,bittorrent,bittorrent,1.0,True
40,bittorrent,gnutella,0.5454545454545454,False
41,bittorrent,bittorrent,1.0,True
42,bittorrent,bittorrent,1.0,True
43,bittorrent,gnutella,0.5454545454545454,False
0,http,http,1.0,True
1,http,http,0.8333333333333334,True
2,http,http,0.8333333333333334,True
3,http,http,0.8333333333333334,True
4,http,http,0.8333333333333334,True
5,http,http,0.8333333333333334,True
6,http,http,1.0,True
7,http,http,1.0,True
8,http,http,0.8333333333333334,True
9,http,http,1.0,True
10,http,http,0.8333333333333334,True
11,gnutella,gnutella,0.5882352941176471,True
12,gnutella,gnutella,0.6666666666666666,True
13,gnutella,bittorrent,0.864406779661017,False
14,gnutella,gnutella,0.5882352941176471,True
15,gnutella,gnutella,0.5882352941176471,True
16,gnutella,bittorrent,0.864406779661017,False
17,gnutella,gnutella,0.8214285714285714,True
18,gnutella,gnutella,0.5882352941176471,True
19,gnutella,gnutella,0.8214285714285714,True
20,gnutella,gnutella,0.7777777777777778,True
21,gnutella,gnutella,0.8214285714285714,True
22,edonkey,edonkey,0.9166666666666666,True
23,edonkey,edonkey,0.5555555555555556,True
24,edonkey,edonkey,0.9166666666666666,True
25,edonkey,edonkey,0.9166666666666666,True
26,edonkey,edonkey,0.9166666666666666,True
27,edonkey,edonkey,0.9166666666666666,True
28,edonkey,edonkey,0.9166666666666666,True
29,edonkey,edonkey,0.9166666666666666,True
30,edonkey,edonkey,0.9166666666666666,True
31,edonkey,edonkey,0.9166666666666666,True
32,edonkey,edonkey,0.9166666666666666,True
33,bittorrent,gnutella,0.5882352941176471,False
34,bittorrent,gnutella,0.5882352941176471,False
35,bittorrent,gnutella,0.5882352941176471,False
36,bittorrent,bittorrent,1.0,True
37,bittorrent,gnutella,0.5882352941176471,False
38,bittorrent,gnutella,0.5882352941176471,False
39,bittorrent,bittorrent,0.864406779661017,True
40,bittorrent,gnutella,0.5882352941176471,False
41,bittorrent,gnutella,0.8214285714285714,False
42,bittorrent,http,0.8125,False
43,bittorrent,bittorrent,1.0,True
